session_id,run_id,time,gap_id,side,x,y,vx,vy,ns
dgap_26-05-05_10-40-58,0,8.485000,10,left,3.897180,-0.628310,-0.463870,0.040248,simp
dgap_26-05-05_10-40-58,0,8.485000,11,right,4.106288,0.923963,-0.325986,0.024718,simp
dgap_26-05-05_10-40-58,0,8.525000,10,left,3.952000,-0.637148,-0.437283,0.029076,simp
dgap_26-05-05_10-40-58,0,8.525000,11,right,4.097661,0.975106,-0.341366,0.027246,simp
dgap_26-05-05_10-40-58,0,8.560000,10,left,3.936884,-0.585141,-0.413934,0.021104,simp
dgap_26-05-05_10-40-58,0,8.560000,14,right,3.649549,0.000000,0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,8.605000,10,left,3.927449,-0.534468,-0.392417,0.015722,simp
dgap_26-05-05_10-40-58,0,8.605000,14,right,3.648880,0.044868,0.000009,0.000001,simp
dgap_26-05-05_10-40-58,0,8.645000,10,left,3.913972,-0.483697,-0.373423,0.012648,simp
dgap_26-05-05_10-40-58,0,8.645000,14,right,3.652142,0.089831,0.002226,0.002837,simp
dgap_26-05-05_10-40-58,0,8.685000,10,left,3.890731,-0.432325,-0.358605,0.011712,simp
dgap_26-05-05_10-40-58,0,8.685000,14,right,3.655843,0.134916,0.008570,0.009617,simp
dgap_26-05-05_10-40-58,0,8.725000,10,left,3.931659,-0.436873,-0.335397,0.002098,simp
dgap_26-05-05_10-40-58,0,8.725000,15,right,3.975539,1.155266,-0.000000,0.000000,simp
dgap_26-05-05_10-40-58,0,8.765000,10,left,3.862347,-0.381157,-0.324997,-0.003707,simp
dgap_26-05-05_10-40-58,0,8.765000,15,right,3.968440,1.206311,0.000566,-0.000001,simp
dgap_26-05-05_10-40-58,0,8.805000,10,left,3.793747,-0.327340,-0.326877,-0.006269,simp
dgap_26-05-05_10-40-58,0,8.805000,15,right,3.968801,1.259933,0.005865,0.004623,simp
dgap_26-05-05_10-40-58,0,8.845000,10,left,3.718228,-0.274812,-0.340201,-0.005823,simp
dgap_26-05-05_10-40-58,0,8.845000,15,right,3.908617,1.240827,-0.009330,-0.017609,simp
